food,cal,calFromFat,totFat,totFatDV,totCarb,totCarbDV,satFat,satFatDV,dietaryFiber,dietaryFiberDV,transFat,transFatDV,sugars,sugarsDV,cholesterol,cholesterolDV,protein,proteinDV,sodium,sodiumDV,restrictions,price
Battered Fish Burrito ,608,251,27.8,73,85.1,,9.3,46,7.8,26,0,,5.6,4,70.5,,32.1,,1929.4,84,"Contains Dairy, Contains Soy, Contains Wheat, Contains Fish, Contains Gluten, Sustainability, Contains Dairy, Contains Soy, Contains Wheat, Contains Fish, Sustainability, ",$10.00
Bean & Cheese Burrito ,588,173,19.2,50,80.5,,9.6,48,5.4,18,0,,2.3,2,19,,25.6,,1310,57,"Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Sustainability, ",$5.00
Bean Squared Burrito ,630,168,18.6,49,94.8,,9,45,10.8,36,0,,7.2,6,21.1,,24.7,,2004.5,87,"Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Sustainability, ",$6.00
Carnitas Burrito ,604,200,22.2,58,70.9,,7.9,40,9.7,32,0,,4.7,4,69,,34.1,,1895.9,82,"Contains Soy, Contains Wheat, Contains Gluten, Contains Soy, Contains Wheat, ",$8.50
El Jefe Burrito ,1032,353,39.2,103,110.1,,14.8,74,10.3,34,3.1,,10,8,134.7,,59.6,,3701.5,161,"Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Contains Dairy, Contains Soy, Contains Wheat, ",$11.00
Pollo Asada Burrito ,674,196,21.8,57,82.4,,6.7,33,12.5,42,0,,9,7,142.1,,41,,2895.2,126,"Contains Soy, Contains Wheat, Contains Gluten, Contains Soy, Contains Wheat, ",$8.50
Shrimp Asada Burrito ,693,214,23.7,62,79.3,,6,30,11.4,38,0,,6.8,5,248.5,,45.4,,2202.1,96,"Contains Dairy, Contains Soy, Contains Wheat, Contains Shellfish, Contains Gluten, Contains Dairy, Contains Soy, Contains Wheat, Contains Shellfish, ",$8.50
Veggie Burrito ,428,127,14.1,37,65,,6.7,34,10.4,35,0,,7,5,12.7,,17.1,,1530.5,67,"Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Sustainability, ",$7.50
Battered Fish Burrito Bowl ,396,205,22.7,60,47.4,,7.2,36,5.5,18,0,,4.4,3,78.9,,26.3,,1668.4,73,"Contains Dairy, Contains Soy, Contains Wheat, Contains Fish, Contains Gluten, Sustainability, Contains Dairy, Contains Soy, Contains Wheat, Contains Fish, Sustainability, ",$10.00
Bean & Rice Bowl ,258,95,10.5,28,31.2,,6.2,31,5.5,18,0,,4.3,3,29.5,,10.2,,1153,50,"Vegetarian, Contains Dairy, Sustainability, Vegetarian, Contains Dairy, Sustainability, ",$5.00
Carnitas Burrito Bowl ,451,138,15.3,40,33.8,,7.7,38,5.5,18,0,,6,5,122.1,,43.9,,2312.5,101,"Contains Dairy, Contains Soy, Contains Dairy, Contains Soy, ",$8.50
Pollo Asada Burrito Bowl ,475,174,19.3,51,37.8,,8.6,43,5.9,20,0,,10.3,8,171.6,,36.4,,2440.3,106,"Contains Dairy, Contains Dairy, ",$8.50
Shrimp Asada Burrito Bowl ,495,201,22.3,59,34.2,,6.9,34,5.9,20,0,,6.1,5,269.6,,40.5,,1697.6,74,"Contains Dairy, Contains Shellfish, Sustainability, Contains Dairy, Contains Shellfish, Sustainability, ",$8.50
